x,y,yaw
-1.8556614,-1.4026335,2.0130941
-1.8706689,-1.3701666,1.9941933
-1.8850510,-1.3374180,1.9747222
-1.8987830,-1.3043916,1.9546438
-1.9118387,-1.2710922,1.9339204
-1.9241904,-1.2375254,1.9125130
-1.9358088,-1.2036980,1.8903819
-1.9466631,-1.1696177,1.8674869
-1.9567208,-1.1352940,1.8437876
-1.9659482,-1.1007377,1.8192438
-1.9743096,-1.0659618,1.7938161
-1.9817684,-1.0309811,1.7674662
-1.9882865,-0.9958127,1.7401581
-1.9938247,-0.9604764,1.7118586
