x,y,yaw
14.8827128,2.6422977,0.4834784
14.9622155,2.6845588,0.4937627
15.0407256,2.7273539,0.5044487
15.1181971,2.7706841,0.5155572
15.1945836,2.8145509,0.5271100
15.2698389,2.8589553,0.5391304
15.3439168,2.9038988,0.5516429
15.4167711,2.9493826,0.5646735
15.4883555,2.9954079,0.5782496
15.5586239,3.0419761,0.5924001
15.6275301,3.0890884,0.6071557
15.6950277,3.1367460,0.6225483
15.7610706,3.1849504,0.6386116
15.8256126,3.2337026,0.6553809
15.8886075,3.2830040,0.6728930
15.9500090,3.3328559,0.6911861
16.0097709,3.3832596,0.7102999
16.0678470,3.4342162,0.7302753
16.1241910,3.4857271,0.7511540
16.1787569,3.5377936,0.7729786
16.2314982,3.5904169,0.7957918
16.2823689,3.6435983,0.8196362
16.3313227,3.6973391,0.8445536
16.3783134,3.7516405,0.8705844
16.4232947,3.8065038,0.8977663
16.4662204,3.8619303,0.9261338
16.5070444,3.9179213,0.9557167
16.5457204,3.9744780,0.9865390
16.5822022,4.0316017,1.0186172
16.6164436,4.0892937,1.0519587
16.6483983,4.1475552,1.0865605
16.6780201,4.2063875,1.1224070
16.7052628,4.2657920,1.1594689
16.7300802,4.3257697,1.1977014
16.7524261,4.3863221,1.2370433
16.7722543,4.4474505,1.2774158
16.7895184,4.5091560,1.3187230
16.8041724,4.5714399,1.3608513
16.8161700,4.6343036,1.4036714
16.8254652,4.6977481,1.4469887
16.8320414,4.7617569,1.4896282
16.8359374,4.8262804,1.5311191
16.8371984,4.8912650,1.5714337
16.8358693,4.9566571,1.6105597
16.8319954,5.0224033,1.6484984
16.8256217,5.0884500,1.6852628
16.8167934,5.1547438,1.7208759
16.8055554,5.2212311,1.7553690
16.7919529,5.2878583,1.7887799
16.7760310,5.3545721,1.8211516
16.7578348,5.4213188,1.8525309
16.7374094,5.4880450,1.8829674
16.7147998,5.5546972,1.9125126
16.6900512,5.6212218,1.9412188
16.6632087,5.6875653,1.9691392
16.6343173,5.7536742,1.9963265
16.6034222,5.8194950,2.0228332
16.5705684,5.8849742,2.0487109
