time,mode,obstacle_count,chosen_offset,speed_limit,min_obstacle_clearance,candidate_count,collision_free_count
1779543143.678115,pass_through,0,0.000,1.000,inf,1,1
1779543143.790253,pass_through,0,0.000,1.000,inf,1,1
1779543143.828215,pass_through,0,0.000,1.000,inf,1,1
1779543143.878113,pass_through,0,0.000,1.000,inf,1,1
1779543143.928500,pass_through,0,0.000,1.000,inf,1,1
1779543143.978104,pass_through,0,0.000,1.000,inf,1,1
1779543144.028324,pass_through,0,0.000,1.000,inf,1,1
1779543144.078144,pass_through,0,0.000,1.000,inf,1,1
1779543144.128408,pass_through,0,0.000,1.000,inf,1,1
1779543144.178147,pass_through,0,0.000,1.000,inf,1,1
1779543144.297238,pass_through,0,0.000,1.000,inf,1,1
1779543144.328196,pass_through,0,0.000,1.000,inf,1,1
1779543144.379035,pass_through,0,0.000,1.000,inf,1,1
1779543144.428172,pass_through,0,0.000,1.000,inf,1,1
1779543144.478214,pass_through,0,0.000,1.000,inf,1,1
1779543144.528512,pass_through,0,0.000,1.000,inf,1,1
1779543144.578295,pass_through,0,0.000,1.000,inf,1,1
1779543144.628176,pass_through,0,0.000,1.000,inf,1,1
1779543144.678423,pass_through,0,0.000,1.000,inf,1,1
1779543144.823925,pass_through,0,0.000,1.000,inf,1,1
1779543144.849469,pass_through,0,0.000,1.000,inf,1,1
1779543144.878598,pass_through,0,0.000,1.000,inf,1,1
1779543144.928389,pass_through,0,0.000,1.000,inf,1,1
1779543144.978092,pass_through,0,0.000,1.000,inf,1,1
1779543145.028139,pass_through,0,0.000,1.000,inf,1,1
1779543145.078108,pass_through,0,0.000,1.000,inf,1,1
1779543145.128352,pass_through,0,0.000,1.000,inf,1,1
1779543145.178199,pass_through,0,0.000,1.000,inf,1,1
1779543145.283667,pass_through,0,0.000,1.000,inf,1,1
1779543145.328126,pass_through,0,0.000,1.000,inf,1,1
1779543145.378258,pass_through,0,0.000,1.000,inf,1,1
1779543145.428279,pass_through,0,0.000,1.000,inf,1,1
1779543145.478148,pass_through,0,0.000,1.000,inf,1,1
1779543145.528267,pass_through,0,0.000,1.000,inf,1,1
1779543145.578290,pass_through,0,0.000,1.000,inf,1,1
1779543145.628166,pass_through,0,0.000,1.000,inf,1,1
1779543145.678107,pass_through,0,0.000,1.000,inf,1,1
1779543145.823398,pass_through,0,0.000,1.000,inf,1,1
1779543145.847427,pass_through,0,0.000,1.000,inf,1,1
1779543145.878324,pass_through,0,0.000,1.000,inf,1,1
1779543145.928214,pass_through,0,0.000,1.000,inf,1,1
1779543145.978117,pass_through,0,0.000,1.000,inf,1,1
1779543146.028164,pass_through,0,0.000,1.000,inf,1,1
1779543146.078247,pass_through,0,0.000,1.000,inf,1,1
1779543146.128293,pass_through,0,0.000,1.000,inf,1,1
1779543146.178205,pass_through,0,0.000,1.000,inf,1,1
1779543146.282554,pass_through,0,0.000,1.000,inf,1,1
1779543146.328180,pass_through,0,0.000,1.000,inf,1,1
1779543146.378189,pass_through,0,0.000,1.000,inf,1,1
1779543146.428185,pass_through,0,0.000,1.000,inf,1,1
1779543146.478113,pass_through,0,0.000,1.000,inf,1,1
1779543146.528082,pass_through,0,0.000,1.000,inf,1,1
1779543146.579021,pass_through,0,0.000,1.000,inf,1,1
1779543146.628218,pass_through,0,0.000,1.000,inf,1,1
1779543146.678184,pass_through,0,0.000,1.000,inf,1,1
1779543146.818042,pass_through,0,0.000,1.000,inf,1,1
1779543146.831817,pass_through,0,0.000,1.000,inf,1,1
1779543146.878208,pass_through,0,0.000,1.000,inf,1,1
1779543146.928192,pass_through,0,0.000,1.000,inf,1,1
1779543146.978168,pass_through,0,0.000,1.000,inf,1,1
1779543147.028500,pass_through,0,0.000,1.000,inf,1,1
1779543147.078287,pass_through,0,0.000,1.000,inf,1,1
1779543147.128403,pass_through,0,0.000,1.000,inf,1,1
1779543147.178123,pass_through,0,0.000,1.000,inf,1,1
1779543147.286753,pass_through,0,0.000,1.000,inf,1,1
1779543147.328259,pass_through,0,0.000,1.000,inf,1,1
1779543147.378117,pass_through,0,0.000,1.000,inf,1,1
1779543147.428141,pass_through,0,0.000,1.000,inf,1,1
1779543147.478125,pass_through,0,0.000,1.000,inf,1,1
1779543147.528425,pass_through,0,0.000,1.000,inf,1,1
1779543147.578166,pass_through,0,0.000,1.000,inf,1,1
1779543147.628405,pass_through,0,0.000,1.000,inf,1,1
1779543147.678871,pass_through,0,0.000,1.000,inf,1,1
1779543147.784256,pass_through,0,0.000,1.000,inf,1,1
1779543147.828458,pass_through,0,0.000,1.000,inf,1,1
1779543147.878539,pass_through,0,0.000,1.000,inf,1,1
1779543147.928221,pass_through,0,0.000,1.000,inf,1,1
1779543147.978230,pass_through,0,0.000,1.000,inf,1,1
1779543148.028452,pass_through,0,0.000,1.000,inf,1,1
1779543148.078119,pass_through,0,0.000,1.000,inf,1,1
1779543148.128344,pass_through,0,0.000,1.000,inf,1,1
1779543148.178118,pass_through,0,0.000,1.000,inf,1,1
1779543148.301812,pass_through,0,0.000,1.000,inf,1,1
1779543148.328380,pass_through,0,0.000,1.000,inf,1,1
1779543148.378192,pass_through,0,0.000,1.000,inf,1,1
1779543148.428456,pass_through,0,0.000,1.000,inf,1,1
1779543148.478214,pass_through,0,0.000,1.000,inf,1,1
1779543148.528312,pass_through,0,0.000,1.000,inf,1,1
1779543148.578151,pass_through,0,0.000,1.000,inf,1,1
1779543148.628362,pass_through,0,0.000,1.000,inf,1,1
1779543148.678194,pass_through,0,0.000,1.000,inf,1,1
1779543148.780232,pass_through,0,0.000,1.000,inf,1,1
1779543148.828448,pass_through,0,0.000,1.000,inf,1,1
1779543148.878221,pass_through,0,0.000,1.000,inf,1,1
1779543148.928146,pass_through,0,0.000,1.000,inf,1,1
1779543148.978123,pass_through,0,0.000,1.000,inf,1,1
