time,mode,obstacle_count,chosen_offset,speed_limit,min_obstacle_clearance,candidate_count,collision_free_count
1779542855.113693,pass_through,0,0.000,1.500,inf,1,1
1779542855.257887,pass_through,0,0.000,1.500,inf,1,1
1779542855.284272,pass_through,0,0.000,1.500,inf,1,1
1779542855.314093,pass_through,0,0.000,1.500,inf,1,1
1779542855.363745,pass_through,0,0.000,1.500,inf,1,1
1779542855.413846,pass_through,0,0.000,1.500,inf,1,1
1779542855.463691,pass_through,0,0.000,1.500,inf,1,1
1779542855.513736,pass_through,0,0.000,1.500,inf,1,1
1779542855.563777,pass_through,0,0.000,1.500,inf,1,1
1779542855.613865,pass_through,0,0.000,1.500,inf,1,1
1779542855.738945,pass_through,0,0.000,1.500,inf,1,1
1779542855.763809,pass_through,0,0.000,1.500,inf,1,1
1779542855.813729,pass_through,0,0.000,1.500,inf,1,1
1779542855.863785,pass_through,0,0.000,1.500,inf,1,1
1779542855.913742,pass_through,0,0.000,1.500,inf,1,1
1779542855.963857,pass_through,0,0.000,1.500,inf,1,1
1779542856.013875,pass_through,0,0.000,1.500,inf,1,1
1779542856.064899,pass_through,0,0.000,1.500,inf,1,1
1779542856.113757,pass_through,0,0.000,1.500,inf,1,1
1779542856.252265,pass_through,0,0.000,1.500,inf,1,1
1779542856.266547,pass_through,0,0.000,1.500,inf,1,1
1779542856.313715,pass_through,0,0.000,1.500,inf,1,1
1779542856.363763,pass_through,0,0.000,1.500,inf,1,1
1779542856.413673,pass_through,0,0.000,1.500,inf,1,1
1779542856.463704,pass_through,0,0.000,1.500,inf,1,1
1779542856.513743,pass_through,0,0.000,1.500,inf,1,1
1779542856.563759,pass_through,0,0.000,1.500,inf,1,1
1779542856.613848,pass_through,0,0.000,1.500,inf,1,1
1779542856.723952,pass_through,0,0.000,1.500,inf,1,1
1779542856.763767,pass_through,0,0.000,1.500,inf,1,1
1779542856.813689,pass_through,0,0.000,1.500,inf,1,1
1779542856.863771,pass_through,0,0.000,1.500,inf,1,1
1779542856.913757,pass_through,0,0.000,1.500,inf,1,1
1779542856.963810,pass_through,0,0.000,1.500,inf,1,1
1779542857.013720,pass_through,0,0.000,1.500,inf,1,1
1779542857.063808,pass_through,0,0.000,1.500,inf,1,1
1779542857.113756,pass_through,0,0.000,1.500,inf,1,1
1779542857.220838,pass_through,0,0.000,1.500,inf,1,1
1779542857.263752,pass_through,0,0.000,1.500,inf,1,1
1779542857.313689,pass_through,0,0.000,1.500,inf,1,1
1779542857.363761,pass_through,0,0.000,1.500,inf,1,1
1779542857.413696,pass_through,0,0.000,1.500,inf,1,1
1779542857.463753,pass_through,0,0.000,1.500,inf,1,1
1779542857.513745,pass_through,0,0.000,1.500,inf,1,1
1779542857.563764,pass_through,0,0.000,1.500,inf,1,1
1779542857.613665,pass_through,0,0.000,1.500,inf,1,1
1779542857.760354,pass_through,0,0.000,1.500,inf,1,1
1779542857.785929,pass_through,0,0.000,1.500,inf,1,1
1779542857.813771,pass_through,0,0.000,1.500,inf,1,1
1779542857.863898,pass_through,0,0.000,1.500,inf,1,1
1779542857.913883,pass_through,0,0.000,1.500,inf,1,1
1779542857.963845,pass_through,0,0.000,1.500,inf,1,1
1779542858.013757,pass_through,0,0.000,1.500,inf,1,1
1779542858.063823,pass_through,0,0.000,1.500,inf,1,1
1779542858.113714,pass_through,0,0.000,1.500,inf,1,1
1779542858.237777,pass_through,0,0.000,1.500,inf,1,1
1779542858.264199,pass_through,0,0.000,1.500,inf,1,1
1779542858.313808,pass_through,0,0.000,1.500,inf,1,1
1779542858.363770,pass_through,0,0.000,1.500,inf,1,1
1779542858.413739,pass_through,0,0.000,1.500,inf,1,1
1779542858.463811,pass_through,0,0.000,1.500,inf,1,1
1779542858.513722,pass_through,0,0.000,1.500,inf,1,1
1779542858.563777,pass_through,0,0.000,1.500,inf,1,1
1779542858.613742,pass_through,0,0.000,1.500,inf,1,1
1779542858.725563,pass_through,0,0.000,1.500,inf,1,1
1779542858.763879,pass_through,0,0.000,1.500,inf,1,1
1779542858.813690,pass_through,0,0.000,1.500,inf,1,1
1779542858.863793,pass_through,0,0.000,1.500,inf,1,1
1779542858.913805,pass_through,0,0.000,1.500,inf,1,1
1779542858.963728,pass_through,0,0.000,1.500,inf,1,1
1779542859.013680,pass_through,0,0.000,1.500,inf,1,1
1779542859.063739,pass_through,0,0.000,1.500,inf,1,1
1779542859.113723,pass_through,0,0.000,1.500,inf,1,1
1779542859.221742,pass_through,0,0.000,1.500,inf,1,1
1779542859.263730,pass_through,0,0.000,1.500,inf,1,1
1779542859.313784,pass_through,0,0.000,1.500,inf,1,1
1779542859.363757,pass_through,0,0.000,1.500,inf,1,1
1779542859.413783,pass_through,0,0.000,1.500,inf,1,1
1779542859.463715,pass_through,0,0.000,1.500,inf,1,1
1779542859.513662,pass_through,0,0.000,1.500,inf,1,1
1779542859.563762,pass_through,0,0.000,1.500,inf,1,1
1779542859.613992,pass_through,0,0.000,1.500,inf,1,1
1779542859.724757,pass_through,0,0.000,1.500,inf,1,1
1779542859.763815,pass_through,0,0.000,1.500,inf,1,1
1779542859.813690,pass_through,0,0.000,1.500,inf,1,1
1779542859.863770,pass_through,0,0.000,1.500,inf,1,1
1779542859.913752,pass_through,0,0.000,1.500,inf,1,1
1779542859.963745,pass_through,0,0.000,1.500,inf,1,1
1779542860.013693,pass_through,0,0.000,1.500,inf,1,1
1779542860.063836,pass_through,0,0.000,1.500,inf,1,1
1779542860.113743,pass_through,0,0.000,1.500,inf,1,1
1779542860.236690,pass_through,0,0.000,1.500,inf,1,1
1779542860.264777,pass_through,0,0.000,1.500,inf,1,1
1779542860.313678,pass_through,0,0.000,1.500,inf,1,1
1779542860.363769,pass_through,0,0.000,1.500,inf,1,1
1779542860.413742,pass_through,0,0.000,1.500,inf,1,1
1779542860.463801,pass_through,0,0.000,1.500,inf,1,1
1779542860.513782,pass_through,0,0.000,1.500,inf,1,1
1779542860.563724,pass_through,0,0.000,1.500,inf,1,1
1779542860.613651,pass_through,0,0.000,1.500,inf,1,1
1779542860.734395,pass_through,0,0.000,1.500,inf,1,1
1779542860.763834,pass_through,0,0.000,1.500,inf,1,1
1779542860.813833,pass_through,0,0.000,1.500,inf,1,1
1779542860.864035,pass_through,0,0.000,1.500,inf,1,1
1779542860.913749,pass_through,0,0.000,1.500,inf,1,1
1779542860.965598,pass_through,0,0.000,1.500,inf,1,1
1779542861.013671,pass_through,0,0.000,1.500,inf,1,1
1779542861.063774,pass_through,0,0.000,1.500,inf,1,1
1779542861.114303,pass_through,0,0.000,1.500,inf,1,1
